plant_id,plant_name,technology,plant_municipality,plant_ort,commissioning_date,grid_connection_level,capacity_mw,capacity_factor,energy_mwh_annual,substation_id,substation_name,distance_m
SEE946507631432,V47863,Wind,Zehdenick,Zehdenick,12/20/2012,Hochspannung,2.0,0.3,5256.0,1707,Umspannstation Klein Mutz,468.08757121395837
SEE924482046533,LHI Solar Deutschland VI GmbH & Co. KG (PVA Welzow),Solare Strahlungsenergie,Neu-Seeland,Neu-Seeland,12/6/2011,Hochspannung,9.8,0.12,10301.76,588,,1748.1827791882304
SEE973025247234,V47861,Wind,Zehdenick,Zehdenick,12/30/2012,Hochspannung,2.0,0.3,5256.0,1707,Umspannstation Klein Mutz,1140.1751850257328
SEE929294363090,LHI Solar Deutschland VI GmbH & Co. KG (PVA Welzow),Solare Strahlungsenergie,Welzow,Welzow,12/6/2011,Hochspannung,2.8,0.12,2943.3599999999997,3173,,1046.4574476232203
SEE949292048683,Rehfeld NM68546 (1),Wind,Falkenberg/Elster,Rehfeld,7/29/2004,Hochspannung,1.5,0.3,3942.0,2496,,310.01512306480953
SEE995345006537,Rehfeld NM68543 (2),Wind,Falkenberg/Elster,Rehfeld,7/29/2004,Hochspannung,1.5,0.3,3942.0,2497,,372.6069000928826
SEE967568614509,Rehfeld NM68547 (3)*,Wind,Falkenberg/Elster,Rehfeld,7/26/2004,Hochspannung,1.5,0.3,3942.0,2496,,579.2418033938285
SEE949658093340,Rehfeld NM68545 (4),Wind,Falkenberg/Elster,Rehfeld,7/30/2004,Hochspannung,1.5,0.3,3942.0,2497,,701.5053710896526
SEE946128617716,Rehfeld NM68548 (5),Wind,Falkenberg/Elster,Rehfeld,7/30/2004,Hochspannung,1.5,0.3,3942.0,2497,,807.5405735377326
SEE989765935843,Rehfeld NM68549 (6),Wind,Falkenberg/Elster,Rehfeld,7/31/2004,Hochspannung,1.5,0.3,3942.0,2497,,979.3606021728002
SEE994698170742,Rehfeld NM23285 (7),Wind,Falkenberg/Elster,Rehfeld,1/25/2006,Hochspannung,1.5,0.3,3942.0,2496,,937.9835381363656
SEE942295386226,P4 Prähnsee 4,Wind,Uckerfelde,Uckerfelde,11/16/2020,Höchstspannung,3.63,0.3,9539.64,292,,2269.912369328217
SEE903532903798,WEA04 - NX84606,Wind,Plattenburg,Plattenburg,3/3/2016,Hochspannung,3.0,0.3,7884.0,3438,,2670.0874324449587
SEE935534990155,Windkraftanlage Vehlin Zwei GmbH &Co. KG,Wind,Gumtow,Gumtow,2/13/2014,Hochspannung,2.3,0.3,6044.4,1802,Vehlin,447.5120751094336
SEE968403295532,WEA01 - NX84607,Wind,Plattenburg,Plattenburg,3/30/2016,Hochspannung,3.0,0.3,7884.0,3438,,3560.053172188003
SEE943153544413,WEA 36 - Oberbarnim,Wind,Wriezen,Wriezen,12/13/2019,Hochspannung,3.45,0.3,9066.6,3424,,6426.792940955259
SEE916617918846,WEA06 - NX84608,Wind,Plattenburg,Plattenburg,4/5/2016,Hochspannung,3.0,0.3,7884.0,3438,,2623.264089953812
SEE971689551704,WEA03 - NX84811,Wind,Plattenburg,Plattenburg,12/30/2015,Hochspannung,3.3,0.3,8672.4,3438,,3008.7139045117674
SEE986439089604,WEA02 - NX84609,Wind,Plattenburg,Plattenburg,3/23/2016,Hochspannung,3.0,0.3,7884.0,3438,,3410.959135427596
SEE906457607444,PVA Rehagener Hauptstrasse,Solare Strahlungsenergie,Am Mellensee,Am Mellensee,10/21/2011,Hochspannung,0.09309999999999999,0.12,97.86671999999999,1438,Spremberg,2349.3402361788985
SEE939179438645,WEA 09,Wind,Uckerland,Uckerland,3/28/2018,Hochspannung,3.45,0.3,9066.6,1467,Wilsickow,3292.2471038966864
SEE957797992295,WEA 03 Milow,Wind,Uckerland,Uckerland,3/16/2018,Hochspannung,3.45,0.3,9066.6,1467,Wilsickow,2812.6491592435914
SEE966370025480,WEA 02 Milow,Wind,Uckerland,Uckerland,3/28/2018,Hochspannung,3.45,0.3,9066.6,1467,Wilsickow,2681.2940989176395
SEE939090684022,WEA 01 Milow,Wind,Uckerland,Uckerland,3/28/2018,Hochspannung,3.45,0.3,9066.6,1467,Wilsickow,2501.5170831006585
